Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy noche 
 rt lacealames2016 if you havent register to lacealames16 just click the link come to learn and inte; j : 1. Sim : 0.021195902; No similar. 
 rt facultadartes dejamos programacion abril 130 anos artes plasticas comunidadun labelurl  ; j : 2401. Sim : 0.34353244; No similar. 
 comunidad tarde viernes vamos tras huellas virginia gutierrez pineda labelurl via elespectador  ; j : 2402. Sim : 0.41967362; No similar. 
 paraescuchar derechos autor obras musicales unradio labelurl 985unradio unradiomedellin  ; j : 2403. Sim : 0.04105111; No similar. 
 jueves terminamos click bloque w unmanizales video labelurl labelurl  ; j : 2404. Sim : 0.3324034; No similar. 
 pierdas conferencia elecciones unidos relaciones interamericanas labelurl labelurl  ; j : 2405. Sim : 0.104724765; No similar. 
 escribir sinonimo pensar ordenar ideas construir mensaje unico jairovalderrama losperiodistasenunis; j : 2406. Sim : 0.20069489; No similar. 
 luisdbrand saludos actualmente adelantan obras ampliacion parqueaderos motos parque gua labelurl  ; j : 2407. Sim : 0.34637585; No similar. 
 simposio psicologia paz conflicto celebracion 10 anos programa psicologia ur labelurl labelurl  ; j : 2408. Sim : 0.34670344; No similar. 
 noticiaun manizales debe garantizar proteccion laderas labelurl unmanizales ciudadmanizales labelur; j : 2409. Sim : 0.23505156; No similar. 
 universidad andes busca auxiliares telemercadeo mas informacion seleccionypromocionuniandeseduco la; j : 2410. Sim : 0.22291744; No similar. 
 vale pena cuestionarse si tecnologicamente posibles socialmente deseable n remolina labelurl  ; j : 2411. Sim : 0.16791989; No similar. 
 pierdas sabados 300 pm lapazenfoco institucionaltv repeticion untelevision labelurl  ; j : 2412. Sim : 0.3150539; No similar. 
 urosario construyendo cuerpo profesoral excelencia conoce mas labelurl labelurl  ; j : 2413. Sim : 0.15114696; No similar. 
 programateun concierto manana auditorioleondegreiff 300 pm labelurl feliz noche divcultural  ; j : 2414. Sim : 0.52928823; Baja. 
 atardecer unisabana ultimo viernes enero feliz fin semana foto laura mora octavo semestre faculta l; j : 2415. Sim : 0.6094024; Baja. 
 rt obsdemocracia sondeovirtual farc ahora armas deben recibir garantias gob participar politica vot; j : 2416. Sim : 0.2983167; No similar. 
 paraver pedagogia enfoque genero lapazenfoco labelurl unimedios untelevision labelurl  ; j : 2417. Sim : 0.13675018; No similar. 
 mmovilgnecco sttmed gracias aclaracion efectivamente implosion aplazada mas informacion labelurl  ; j : 2418. Sim : 0.3685819; No similar. 
 jochepacheco hola rutasconflicto recibio premio data journalism award categoria mejor sitio web per; j : 2419. Sim : 0.22526368; No similar. 
 terminar dia invitamos recorrido virtual unorinoquia labelurl labelurl  ; j : 2420. Sim : 0.32076436; No similar. 
 oportunidad participacion politica fortalecimiento institucionalidad grnaranjo labelurl  ; j : 2421. Sim : 0.21543026; No similar. 
 moboedal hola link encuentras datos contacto maestria ayuden inquietud labelurl  ; j : 2422. Sim : 0.26352668; No similar. 
 compartimos ustedes nuevo articulo rector mantillaignacio elespectador labelurl labelurl  ; j : 2423. Sim : 0.18780747; No similar. 
 manana ultimo dia haymedellin17 esperamos entrada gratuita mas informacion labelurl labelurl  ; j : 2424. Sim : 0.48780674; No similar. 
 comunidadun proximo 16 mayo launcuenta balance social ano 2015 transmision untelevision labelurl  ; j : 2425. Sim : 0.55389076; Baja. 
 rt diplomadosunal uncolombia inscripciones abiertas diplomados cupos disponibles info labelurl  ; j : 2426. Sim : 0.2120096; No similar. 
 rt hablemosdepazur financiacion partido politico farc seria mayor partidos pda alianza verde podri ; j : 2427. Sim : 0.2804045; No similar. 
 manana pierdan lanzamiento primera feria virtual emprendimientos unaventanparasonar labelurl  ; j : 2428. Sim : 0.2806728; No similar. 
 digitalizacion hoy gente puede conocer joyas archivohistori1 jrestrp mediosdigitalesur  ; j : 2429. Sim : 0.317576; No similar. 
 revivimos mejor premiacion liga rosarista clausura actividades deport labelurl  ; j : 2430. Sim : 0.2903983; No similar. 
 rt comsabana noticias tambien compartimos labelurl dejen seguir tampoco unisabana  ; j : 2431. Sim : 0.2939515; No similar. 
 rt hectorabadf gusta leer vive medellin club lectura biblioeafit entretenido gratis labelurl  ; j : 2432. Sim : 0.30963612; No similar. 
 programateun manana concierto filarmonica auditorioleondegreiff labelurl filarmonibogota  ; j : 2433. Sim : 0.36741456; No similar. 
 estrategias aprendizaje estudiantes solo memorizaran informacion examen final linda b nilson diadel; j : 2434. Sim : 0.1841967; No similar. 
 programateun proxima semana foro internacional pedagogia memoria violencia info labelurl  ; j : 2435. Sim : 0.50714535; Baja. 
 rt derechousabana quieres conversar mujeres disenaron negociaron estructuraron acuerdo final paz un; j : 2436. Sim : 0.0730658; No similar. 
 acercan eleccioneseafit inscribanse convocatoria elecciones repres labelurl labelurl  ; j : 2437. Sim : 0.13496077; No similar. 
 30000 gracias acompanarnos ser parte gran comunidadun dia dia crece mas labelurl  ; j : 2438. Sim : 0.5002362; Baja. 
 rt grupoargos tourtuitero ahora hablemos diseno centroargosinnovacion construyo bajo cuatro criteri; j : 2439. Sim : 0.20276725; No similar. 
 unaventanaparasonar invita participar primera feria virtual emprendimientos ingresen labelurl  ; j : 2440. Sim : 0.094528124; No similar. 
 hoyenelrosario papeles panama perspectivas criminologicas economicas labelurl felizjueves labelurl ; j : 2441. Sim : 0.105586745; No similar. 
 descubre brechas desempeno territorial revela indice departamental competitividad 2016 labelurl  ; j : 2442. Sim : 0.14027718; No similar. 
 rt bienestarsabana semana invitado especial hara respetar espacios libres humo cuidado encuentr  ; j : 2443. Sim : 0.42601085; No similar. 
 pedagogiadelosacuerdos punto 4 acuerdo drogas ilicitas labelurl labelurl  ; j : 2444. Sim : 0.22205183; No similar. 
 rt angelmelguizo congrats lacealames2016 eafit bancorepublica for great lacea meet lot of good idea; j : 2445. Sim : 0.0965768; No similar. 
 comunidadun nuevo capitulo programa click video estacion cable unmanizales untelevision labelurl  ; j : 2446. Sim : 0.43919533; No similar. 
 comunidadun conoce estudiantes unmedellin convocadas construir paz labelurl feliz noche labelurl  ; j : 2447. Sim : 0.35175154; No similar. 
 video ciudad territorio estan metacampusun areas tematicas labelurl untelevision labelurl  ; j : 2448. Sim : 0.31345052; No similar. 
 conoce apropiate rede sociales responde manera adecuada respetuosa avancemosenequipoun labelurl  ; j : 2449. Sim : 0.13040616; No similar. 
 asi escucha tuna unijaveriana festivaldetunas bienestarsabana 37anosunisabana labelurl  ; j : 2450. Sim : 0.3068707; No similar. 
 alain calvo canto rodado reflejo vivencias mario jairo morales henao editorialeafit labelurl  ; j : 2451. Sim : 0.27635208; No similar. 
 maestros acompanan diariamente camino feliz dia ustedes orgulloun labelurl  ; j : 2452. Sim : 0.48836806; No similar. 
 cobertura uncolombia nivel nacional 2016 launcuenta labelurl labelurl  ; j : 2453. Sim : 0.21343905; No similar. 
 rt orgulloun iparm primero pruebas saber bogota tercero pais orgulloun institucionalun labelurl  ; j : 2454. Sim : 0.36737502; No similar. 
 olvidado naturaleza da vida cuidar llenandonos optimismo vicerrector eafit julio acosta  ; j : 2455. Sim : 0.3425217; No similar. 
 conectate traves rede sociales descubre mejor informacion labelurl labelurl  ; j : 2456. Sim : 0.22989818; No similar. 
 ano vuelve editorialeafit novedades filbogota invitamos encontrarse letras autores  ; j : 2457. Sim : 0.23483007; No similar. 
 comunidadun noche recuerda conectarte planeta diariamente ahorra energia ahorraun feliz noche label; j : 2458. Sim : 0.6523525; Baja. 
 conoce agenda foro elnuevoacuerdo retos perspectivas tras renegociacion labelurl labelurl  ; j : 2459. Sim : 0.1806093; No similar. 
 todas madres gran agradecimiento dia parte comunidadun feliz dia gracias ser par labelurl  ; j : 2460. Sim : 0.4803919; No similar. 
 estudiante uniandina participante iii expedicion programa antartico colombiano labelurl labelurl  ; j : 2461. Sim : 0.09976633; No similar. 
 uncolombia cada sedes podras encontrar diferentes espacios interactuar labelurl  ; j : 2462. Sim : 0.14928316; No similar. 
 participaron primera feria virtual emprendimientos unaventanaparasonar ingresen labelurl  ; j : 2463. Sim : 0.07045704; No similar. 
 uncolombia lider investigacion inclusion launcuenta labelurl mantillaignacio via labelurl  ; j : 2464. Sim : 0.2849312; No similar. 
 rt bibliotecaur llegaron parciales tranquilos recuerden crai tendra horario extendido semana labelu; j : 2465. Sim : 0.4187786; No similar. 
 recomendado semana editorialeafit gerencia marca labelurl labelurl  ; j : 2466. Sim : 0.25074524; No similar. 
 disfrute momentos territorio desarrollar creatividad feliz martes comunidadun labelurl  ; j : 2467. Sim : 0.4917663; No similar. 
 launcuenta inversion bienestar universitario toda comunidadun labelurl feliz jueves labelurl  ; j : 2468. Sim : 0.39618278; No similar. 
 ser feliz solo zapato idea felicidad grandes ciudades labelurl labelurl  ; j : 2469. Sim : 0.22456492; No similar. 
 patent unisabana dispositivo mejorar diagnostico males respiratorios via eltiempo labelurl  ; j : 2470. Sim : 0.18032199; No similar. 
 conoce agenda seminario rehabilitacion marco estrategia aps labelurl labelurl  ; j : 2471. Sim : 0.13059835; No similar. 
 comunidadun interesado patentar desarrollo investigacion acompananos manana labelurl  ; j : 2472. Sim : 0.29888272; No similar. 
 mikemartin1984 buenos dias dudas respecto cursos  ; j : 2473. Sim : 0.40894887; No similar. 
 tobitemple saludos si paso ambos feliz noche  ; j : 2474. Sim : 0.5303804; Baja. 
 rt bienestarsabana seguimos recibiendo mayor cantidad juguetes nuevos posible ayudanos llevar felic; j : 2475. Sim : 0.22355719; No similar. 
 francesca ramos ronal rodriguez conversatorio acerca libro chavez maduro balance perspectivas label; j : 2476. Sim : 0.3116473; No similar. 
 lonuevo forum elearning diplomados 100 virtuales tutor expertos sector real conocelos labelurl  ; j : 2477. Sim : 0.0597121; No similar. 
 programateun jornadas academicas construccion paz retos posacuerdo 30anosiepri unparatodos labelurl; j : 2478. Sim : 0.32595548; No similar. 
 sede bogota uncolombia obras arquitectonicas debes conocer labelurl via labelurl  ; j : 2479. Sim : 0.25461483; No similar. 
 seguridad ciudadana seguimos listado ciudades mas violentas mundo piedad rest labelurl  ; j : 2480. Sim : 0.26519552; No similar. 
 acerca fecha audicion corounisabana 10 finalistas cantale papa labelurl  ; j : 2481. Sim : 0.26478583; No similar. 
 coleccion claustrounal violencia segun arte labelurl via elespectador mejoracontinuaun  ; j : 2482. Sim : 0.08860649; No similar. 
 sergiollanoa recibio doctorado unicomplutense obteniendo maxima calificacion sobresaliente cum laud; j : 2483. Sim : 0.0701575; No similar. 
 comunidadun diariamente sentimos conectados ustedes uncolombia labelurl feliz martes labelurl  ; j : 2484. Sim : 0.5040677; Baja. 
 bienestares respetar opinion posicion demas diferentes enfoques sociales vida labelurl  ; j : 2485. Sim : 0.20380491; No similar. 
 mintieron pais infundieron miedo clase politica enganado pais defender si cv  ; j : 2486. Sim : 0.23515919; No similar. 
 conoce requisitos participar concurso interno psicologia labelurl labelurl  ; j : 2487. Sim : 0.15045555; No similar. 
 conoce convocatoria becas agencia chilena cooperacion internacional desarrollo agcid labelurl  ; j : 2488. Sim : 0.14788292; No similar. 
 conoce espacio podras descubrir desarrollar potencial lider labelurl labelurl  ; j : 2489. Sim : 0.16164279; No similar. 
 buenos dias comunidadun orgulloun conoce ganadora premio colombia biodiversa labelurl labelurl  ; j : 2490. Sim : 0.481279; No similar. 
 sabias facultad agronomia unpalmira patrimonio arquitectonico uncolombia video labelurl  ; j : 2491. Sim : 0.18821625; No similar. 
 noticiaun academia industria bajo mismo techo unmanizales labelurl unparatodos via unimedios  ; j : 2492. Sim : 0.29049888; No similar. 
 fotogaleria asi avanzan trabajos adecuacion unbogota labelurl unimedios labelurl  ; j : 2493. Sim : 0.34036946; No similar. 
 disfruta libro recomendado fin semana orden publico arbitraje labelurl labelurl  ; j : 2494. Sim : 0.366412; No similar. 
 vive semana seguridad urosario consulta actividades programadas losvigiasur labelurl labelurl  ; j : 2495. Sim : 0.42291656; No similar. 
 programateun apertura festival cine bogota 2016 auditorioleondegreiff info labelurl  ; j : 2496. Sim : 0.3156657; No similar. 
 comenzo semana eleccioneseafit olviden elegir representantes conozcan mas labelurl  ; j : 2497. Sim : 0.35281634; No similar. 
 rt naganicol mepongolostenis pocos promueven deporte nacional apoyo total labelurl labelurl  ; j : 2498. Sim : 0.118705034; No similar. 
 comunidadun sabias fminas construcciones emblematicas patrimonio video labelurl  ; j : 2499. Sim : 0.16899638; No similar. 
 findmebyotch buenos dias universidad receso cuentanos si problema persiste saludo  ; j : 2500. Sim : 0.46955952; No similar. 
 acuerdo pone fin guerra silencia fusiles avanzamos paso firme grnaranjo vicecolombia elretodelajep ; j : 2501. Sim : 0.18935482; No similar. 
 felizjueves bienvenida comunidadun nuevo dia campus universidad somosun labelurl  ; j : 2502. Sim : 0.40696725; No similar. 
 finalizo inauguracion nuevos espacios eafitpereira feliz noche  ; j : 2503. Sim : 0.46457788; No similar. 
 recomendado semana editorialeafit innovacion m labelurl labelurl  ; j : 2504. Sim : 0.32176232; No similar. 
 carlosjmontesm saludos siguiente enlace encuentra informacion completa labelurl feliz dia  ; j : 2505. Sim : 0.50570583; Baja. 
 aspirantesun encuentra guia paso paso debes hacer inscribirte uncolombia labelurl  ; j : 2506. Sim : 0.3866142; No similar. 
 rt facultadartes boletin facultad artes 229 23 27 mayo uncolombia labelurl labelurl  ; j : 2507. Sim : 0.22579649; No similar. 
 conoce detalles incentivo investigacion biodiversidad labelurl labelurl  ; j : 2508. Sim : 0.22845913; No similar. 
 hacer diferencia ser profesional innovador siglo xxi conoce detalles labelurl labelurl  ; j : 2509. Sim : 0.2138946; No similar. 
 educacion voz alta tiempo implementar grado 12 mantillaignacio unimedios labelurl via elespectador ; j : 2510. Sim : 0.3301675; No similar. 
 prevencion salud clinunisabana abc insuficiencia cardiaca labelurl  ; j : 2511. Sim : 0.21641858; No similar. 
 comunidadun comenzar semana nueva entrega serie grandes maestros elespectador labelurl  ; j : 2512. Sim : 0.3835868; No similar. 
 saca mejor provecho herramienta mejorar habilidades labelurl labelurl  ; j : 2513. Sim : 0.063595794; No similar. 
 rt fismed queremos esperamos sillavaciafismed consulta programacion labelurl miraens  ; j : 2514. Sim : 0.3395277; No similar. 
 termina dia conociendo mas mas valiosos bienes inmuebles unmedellin click labelurl  ; j : 2515. Sim : 0.2810818; No similar. 
 rt bienestarsabana bienestaressalud gracias apoyaron campana ayuda ahora respiramos aire mas  ; j : 2516. Sim : 0.30661765; No similar. 
 pocos minutos culmina gran debateplebiscitour olviden votar encuesta opinion  ; j : 2517. Sim : 0.34365344; No similar. 
 comunidadun construir futuro pazun uncolombia unpalmira unmanizales unmedellin labelurl  ; j : 2518. Sim : 0.19951966; No similar. 
 comunidadun hoy invitamos conocer departamento estadistica unbogota video labelurl fcienciasunalco ; j : 2519. Sim : 0.5775951; Baja. 
